class,u,g,r,i,z,redshift,ra,dec,cluster
QSO,18.8176,18.4379,17.94547,17.52088,17.44295,0.1696882,346.44170069323445,-50.02826858254944,0
GALAXY,19.3625,17.52642,16.71075,16.27534,15.95574,0.04903076,186.61156680071545,-4.920348714327957,0
GALAXY,18.61503,17.52145,17.24899,17.05374,16.95476,0.04356531,26.2434426737958,-78.99522659779976,0
GALAXY,18.36734,16.83051,16.19223,15.843,15.60653,0.05388061,225.6598455894242,3.9687149108265345,0
GALAXY,19.15848,18.00612,17.52179,17.22569,17.04532,0.04335769,91.15160652461168,-21.607897473466465,0
GALAXY,17.79119,15.96024,15.09341,14.64843,14.31681,0.05382339,289.3296426758289,-81.96119480209973,0
GALAXY,18.69203,17.60727,17.09397,16.61407,16.49216,0.09113408,294.41594648382863,-29.677631994679544,0
GALAXY,19.3056,18.11543,17.27961,16.87573,16.55245,0.1468625,352.42104810767825,-19.54151635988599,0
GALAXY,18.02139,16.15993,15.73891,15.49675,15.42442,0.02388959,180.67303116882132,88.1858684294892,0
GALAXY,18.37611,17.15672,16.30552,15.86671,15.57025,0.1319281,163.78447670198537,-52.58054305451242,0
QSO,17.6373,17.50481,17.35688,16.99001,17.15859,0.1731185,271.251217960733,8.060330766617938,0
STAR,18.4801,17.48393,17.14433,17.01686,16.98919,0.000299516,47.68943628309356,87.71679885575315,0
GALAXY,18.16746,16.84846,16.2298,15.82586,15.54955,0.05352432,196.8895849655247,52.563457429224314,0
QSO,18.23252,18.14109,17.77946,17.66071,17.62996,1.372802,196.6491360471063,88.806150158776,0
GALAXY,18.2647,16.85979,16.21399,15.8455,15.62684,0.04210113,32.2103242117394,84.29369663883045,0
STAR,18.21591,16.93285,16.79507,16.78629,16.8355,-0.000134272,150.47427078248887,-1.882882423052223,0
GALAXY,19.18951,17.18931,16.19463,15.74153,15.35997,0.06170123,307.1825274841927,35.34765297670184,0
GALAXY,18.70545,17.1393,16.2616,15.7908,15.47817,0.07733773,308.2153039180777,-70.1202371505928,0
GALAXY,16.23012,14.67918,13.96066,13.57093,13.23709,0.02414819,35.72555937108516,-10.59321149157566,0
GALAXY,19.29505,18.0853,17.19796,16.72679,16.40608,0.1560497,32.65951778921911,55.62333760800553,0
QSO,18.79916,18.53447,17.63532,17.04827,16.77602,0.2152316,94.57037172069673,0.9603577758858108,0
QSO,19.4505,19.51221,19.44019,19.10438,18.98475,1.817875,314.91578251943764,36.48582590710174,0
GALAXY,19.05092,17.71486,16.99573,16.56925,16.25315,0.07386148,46.40493062645962,44.23523939716986,0
GALAXY,19.37803,17.87407,16.93218,16.43826,16.0536,0.1183965,259.1988489458806,-44.3755545762791,0
GALAXY,19.58802,17.79516,16.77943,16.2985,15.94636,0.1167837,36.41962306071716,67.62588712966178,0
STAR,19.44881,18.09053,18.16354,18.27184,18.2727,0.000134581,224.32962734921713,-7.231962436347786,0
GALAXY,19.23226,17.74481,17.00006,16.56238,16.2852,0.05848505,128.18422768289213,-52.166681348122125,0
GALAXY,18.61131,17.39661,16.82981,16.42213,16.18049,0.05573868,284.00902666771213,65.77485872191988,0
GALAXY,17.95032,16.55394,15.78342,15.33585,14.99424,0.05777124,84.1285615771309,-14.79261490087434,0
GALAXY,19.19517,17.06991,15.99701,15.49089,15.07193,0.05834259,230.11265858038556,45.05623890834954,0
GALAXY,19.49844,18.54915,17.8753,17.57566,17.64944,0.1321409,84.84571244731858,8.645952999886731,0
GALAXY,19.5924,18.1522,17.38241,16.88036,16.52846,0.05862247,256.91770192037535,-21.263084597789927,0
GALAXY,19.5792,17.58193,16.35915,15.76485,15.25926,0.1248653,314.5240924418696,55.77775470694249,0
GALAXY,18.03215,16.9934,16.41687,16.01284,15.76241,0.05750092,45.64864768563361,15.204587696030345,0
GALAXY,18.70173,17.16827,16.36426,15.90729,15.5581,0.05868592,311.9744478943813,-19.69882156313429,0
GALAXY,19.12165,17.92816,17.18219,16.72976,16.4595,0.1289186,213.6870915891473,-70.27238333967713,0
GALAXY,18.63516,16.7895,15.8911,15.37686,15.02526,0.08100747,45.75977671212863,71.18015647800743,0
GALAXY,17.4136,16.28186,16.0428,15.7877,15.05357,0.06101273,153.91506792949633,-83.61547463850002,0
QSO,18.56614,18.33807,18.13469,18.08772,18.0079,1.188033,57.90970565463524,65.3737227062501,0
STAR,18.79798,17.43201,16.89351,16.67088,16.5531,9.17e-05,252.12523999196503,-25.20692552103202,0
GALAXY,18.06942,16.6328,15.91424,15.47746,15.11731,0.05111897,273.19252839046186,25.080977430253057,0
STAR,16.31268,15.60035,15.83786,16.03955,16.18371,-0.000788093,38.08674729820763,75.99595029042334,0
GALAXY,19.08915,17.60376,16.85406,16.42696,16.13112,0.1112765,182.21034697007195,-62.69280920929829,0
STAR,18.49135,17.24343,16.70319,16.45961,16.33624,0.000165022,293.26502016933017,12.051085614985835,0
GALAXY,19.39115,17.38546,16.62838,16.17506,15.90679,0.07212562,337.01869495835876,47.59791522663457,0
QSO,18.707,18.64053,18.52905,18.29859,18.1122,1.955301,184.8664320270372,46.36508988943032,0
GALAXY,19.57363,17.78085,16.77598,16.23286,15.82353,0.08779865,342.10052050010654,4.6137446279107195,0
GALAXY,17.75035,16.0261,15.1387,14.68069,14.32342,0.0593444,192.8480293641707,22.45310278316245,0
GALAXY,18.22282,15.9311,14.74303,14.15989,13.69214,0.05972825,141.90857805596687,46.35485894391201,0
GALAXY,19.48372,17.9773,17.27134,16.87289,16.60576,0.05949812,305.3531262790424,61.38497479633412,0
GALAXY,19.59524,17.67892,16.73691,16.30513,15.92995,0.06071372,177.47377576491206,47.126357437655486,0
STAR,19.53219,18.39891,18.0162,17.77451,17.71969,7.4e-05,169.8849038032283,-26.27911022737632,0
GALAXY,17.93534,16.66192,16.03994,15.65545,15.39904,0.05677012,176.51249618753818,89.41075219039197,0
QSO,19.04612,18.70521,18.2838,18.17873,18.11357,1.209849,304.84260067310834,-11.789515130525215,0
STAR,18.95553,17.70786,17.73913,17.82772,17.88135,-5.14e-05,299.4989550076988,-85.59635350339198,0
STAR,18.37592,17.16306,17.00724,16.98337,16.9757,-0.000475553,145.26719727847603,-24.72894871461683,0
STAR,16.55685,16.70106,16.94504,17.06135,17.18145,3.22e-05,119.987949553389,-66.99906817670822,0
QSO,17.26298,17.05734,16.82287,16.54268,16.57585,0.2374082,177.09408865408653,-68.14032916889249,0
QSO,19.53951,19.21982,19.0787,18.86483,18.45813,0.4155854,206.19810350535928,-39.32369278075902,0
GALAXY,18.72752,17.0404,16.05794,15.58988,15.20252,0.07811995,85.8013958260789,-80.39241104809305,0
STAR,18.42745,17.22171,16.71829,16.50607,16.39707,-0.000612231,285.8238304976126,33.93219391372135,0
GALAXY,19.13609,17.2247,16.18891,15.73335,15.34444,0.09345017,175.13379566367223,-76.68200084365708,0
STAR,17.97833,17.89265,18.05959,18.17827,18.4006,3.33e-05,120.25639743118543,-53.40788002152789,0
GALAXY,19.41949,18.10726,17.47618,17.13251,16.95683,0.06014679,38.45555746703662,-73.27805139105851,0
GALAXY,19.26683,17.14182,16.09507,15.60514,15.22168,0.08552414,85.98425774529849,-78.62980843745441,0
GALAXY,19.16621,17.7159,16.79408,16.35458,16.00154,0.1208174,341.7412218321541,-41.8047002028825,0
GALAXY,18.09776,16.93142,16.49068,16.26505,16.37322,0.01726725,109.83588725502958,12.941814178866592,0
STAR,19.34737,18.18453,17.7181,17.52842,17.37867,-0.000242042,60.789344172132715,83.6434001604315,0
GALAXY,18.96508,17.48571,16.68866,16.21093,15.90809,0.09176008,165.84220499579754,67.60019778292914,0
STAR,17.47214,16.35198,15.94086,15.76576,15.70439,-0.000220572,110.55158760968952,67.66810658015845,0
GALAXY,18.45455,16.94073,16.1629,15.74588,15.41726,0.04977439,12.657330097629895,-58.30793351322163,0
GALAXY,19.2093,17.28266,16.35978,15.95987,15.63836,0.07302662,116.3322782205902,-42.31670517039238,0
STAR,18.38701,17.20912,17.09054,17.10442,17.12076,-0.000143799,195.8791046182087,-76.24920297684497,0
STAR,18.27987,17.18587,16.75754,16.61252,16.5409,0.000307725,198.6164539271881,50.1243011847333,0
GALAXY,18.62934,16.4986,15.44847,14.94326,14.53822,0.07072996,128.36121162367994,-77.43306573259885,0
GALAXY,18.68736,17.55889,17.10873,16.85324,16.7249,0.0718553,161.02899225093623,10.205220747753586,0
GALAXY,17.70695,16.31486,15.718,15.41039,15.24352,0.02424728,347.5864505645159,-45.38239698168886,0
GALAXY,19.21385,17.14098,15.99594,15.509,15.10908,0.1213813,135.84545180291218,-46.179785874825946,0
GALAXY,18.94335,17.86383,17.27342,16.90272,16.65774,0.09045754,92.96165277359388,88.33050994456892,0
QSO,19.38302,19.22918,18.96205,18.81437,18.8061,1.41001,87.64813586403365,46.220365256136745,0
STAR,16.76324,16.89975,17.28861,17.59133,17.85925,-0.000245221,164.7952605734883,60.64908449238902,0
GALAXY,18.68662,16.66134,15.67918,15.21116,14.86385,0.07370619,273.4272535380999,12.95688336192228,0
STAR,18.07529,16.81557,16.27098,16.02779,15.9137,-0.000249736,74.15574630785035,66.78257173087485,0
GALAXY,18.26517,17.08865,16.665,16.42711,16.28,0.03196613,255.3466057706765,26.18829704994353,0
STAR,19.17192,19.39944,19.80519,20.06937,20.37938,-0.000621562,7.613936405789863,80.31126686334215,0
GALAXY,19.42093,18.08068,17.37528,16.94139,16.65784,0.07421819,150.81587207422058,-39.35905451178538,0
GALAXY,17.28409,15.81715,15.10655,14.78893,14.5135,0.02491173,279.3114234730033,17.157518240921107,0
STAR,18.71907,17.56114,17.31301,17.23112,17.22364,0.000183543,121.94386407879531,34.223642628640576,0
GALAXY,19.09967,17.78769,17.05525,16.6154,16.32607,0.087736,202.9453565203438,-19.271285094994795,0
GALAXY,17.94162,16.50016,15.80118,15.35494,15.0892,0.07265304,73.79252381732789,68.34743683272958,0
GALAXY,18.95101,17.76988,17.09916,16.6884,16.44592,0.1185048,267.118340805422,86.36456935874779,0
GALAXY,18.64376,17.52753,17.10521,16.87156,16.74996,0.02115763,18.820477176753464,-1.121491552920915,0
STAR,17.37368,16.24491,15.74266,15.5401,15.41638,0.000503785,306.91535215518013,-19.684682135218964,0
STAR,18.08301,17.01288,16.58607,16.39245,16.29694,0.000298846,71.35069911180054,-5.051172859837436,0
STAR,18.25573,17.35073,17.07411,16.99281,16.93581,8.28e-05,314.78329141499904,63.492614231747694,0
STAR,19.55236,18.0797,17.47165,17.25418,17.11187,0.000660672,126.91052686818624,26.184316593270168,0
STAR,19.1383,18.28761,17.966,17.85325,17.85435,-0.000307941,260.16608681081516,-81.94097294674289,0
STAR,19.41935,18.19058,18.30956,18.40514,18.45322,-0.000204172,114.92110720302784,7.590583880228664,0
STAR,19.34479,18.16109,17.69935,17.50266,17.37496,-0.000357249,326.1282016444731,-86.88597790662543,0
STAR,17.26283,15.81265,15.14708,14.87943,14.71553,0.000988675,45.58936518661477,50.136366780612974,0
STAR,17.03705,16.04642,15.6545,15.51321,15.42417,0.00022855,64.26712413813553,-30.90379076235653,0
STAR,18.21056,17.04343,16.67379,16.52677,16.44135,0.000245347,177.49084505716883,-5.038653218880711,0
GALAXY,17.94415,16.39713,15.60753,15.20854,14.87881,0.06433231,29.497838053732607,53.762059063373755,0
STAR,18.75182,17.44838,16.93106,16.72196,16.58987,1.22e-05,70.5528664926343,-81.63921288856292,0
QSO,18.49606,18.33545,18.32575,18.2421,17.8706,0.3957586,339.75589759632516,-61.46252359351012,0
STAR,17.77654,16.8332,16.42784,16.26889,16.19429,0.000402202,351.5362780132394,-18.367132239879325,0
STAR,17.55646,16.41855,16.0123,15.87859,15.8211,5.65e-06,135.4533585589519,-48.6134705617991,0
STAR,15.64312,14.63566,14.40994,14.35015,14.33967,0.000886851,332.3829675650168,-29.17774336048864,0
STAR,19.44953,18.32255,17.92862,17.75422,17.70119,0.000112091,196.13688324243543,89.67145282064371,0
QSO,19.3159,18.90492,18.81032,18.46701,18.21514,0.4925281,97.10728771455614,58.574598763285934,0
STAR,18.5463,17.41214,16.99977,16.84514,16.74826,-0.000173733,252.86353958901552,69.10232669281953,0
STAR,17.3507,16.10571,16.13367,16.16031,16.17935,0.000499144,237.20465036694856,78.66983404183955,0
STAR,18.41101,17.10926,16.64098,16.46396,16.38421,-5.53e-05,356.085114879144,-28.631541543444783,0
STAR,19.13228,17.77699,17.18725,16.93786,16.80109,0.000424086,95.417023467342,-36.526147596634914,0
GALAXY,19.22491,17.31014,16.42932,16.03455,15.69485,0.06759112,241.9414209582247,-47.86875133702652,0
QSO,19.57486,19.33674,19.33569,19.10727,19.09794,1.66788,18.728551810600884,59.421044035462074,0
GALAXY,18.93554,17.92423,17.56031,17.28289,17.19491,0.06756891,40.912573930818986,32.31933521133328,0
GALAXY,17.95614,16.32131,15.63167,15.30281,15.07259,0.01178355,1.4106149823935743,-47.489043153082086,0
GALAXY,14.45856,13.08055,12.49245,12.20013,11.98045,0.002208026,359.8058451814823,-22.141110742118116,0
GALAXY,18.82294,16.67711,15.73648,15.2623,14.98241,0.07353198,288.818530973092,1.208117507903694,0
QSO,18.49259,18.36398,18.26008,18.0637,18.14782,1.510607,283.2202853040747,5.065210309275656,0
GALAXY,16.47911,14.6118,13.77615,13.37169,13.08353,0.0394443,183.5013871037447,69.97099113930864,0
STAR,18.973,18.036,17.74435,17.62491,17.61323,-0.000816347,108.02414984595838,-21.49809606950106,0
GALAXY,19.40366,17.88881,17.18147,16.75882,16.49079,0.06712187,54.45514240656333,73.53432549009221,0
GALAXY,19.18801,18.11748,17.61195,17.25204,17.10386,0.1076974,102.48290598472693,-10.553839142437866,0
STAR,19.50516,18.46887,18.09249,17.96503,17.92543,-0.000335314,135.34963989449008,44.34708146262369,0
GALAXY,18.48872,17.15252,16.79511,16.57984,16.50532,0.03931762,272.2716349129059,77.4457775973101,0
GALAXY,18.3244,16.9564,16.28382,15.91446,15.68753,0.07419025,194.27824400513487,73.36362671338796,0
GALAXY,19.00222,17.55335,16.91154,16.49841,16.2113,0.03956325,27.894105559973767,-79.7484838867774,0
GALAXY,19.47426,18.65269,18.27437,17.98853,17.94786,0.148312,6.4904432252084066,-52.97322690421743,0
GALAXY,19.20733,17.30405,16.46103,16.05836,15.76366,0.0513935,36.839584632262735,-4.1570234041904826,0
GALAXY,18.74765,17.15057,16.42403,16.01816,15.70499,0.04822783,147.77953693105655,-12.320227808440691,0
QSO,18.25891,18.1642,17.97219,18.0855,18.03407,1.034673,335.9494501376466,25.360499670697266,0
GALAXY,19.37557,17.9076,17.00215,16.56841,16.26298,0.1559169,229.46489323531975,80.0476291485742,0
GALAXY,18.50891,17.26101,16.60857,16.22242,15.9532,0.04821395,288.65732395518546,-69.7671519699692,0
QSO,19.57661,18.9689,18.83382,18.89054,18.7576,2.343093,167.89485402163749,-8.665440275836716,0
GALAXY,18.87357,17.21168,16.58493,16.21879,16.04085,0.06754618,130.1997899502154,-55.36601318031492,0
GALAXY,17.63872,16.57172,16.21044,15.9664,15.81879,0.04691141,39.02413417798418,70.93936771163055,0
QSO,19.19517,18.80937,18.72848,18.72962,18.55446,2.183592,315.3358879870338,83.62443344429752,0
GALAXY,18.84805,17.40747,16.67952,16.27651,16.0186,0.06745292,281.93761045004504,-3.8336972597369794,0
STAR,17.25154,16.34165,16.04269,15.94818,15.915,-0.000314693,60.52251513518104,-71.27814640893467,0
GALAXY,17.46699,15.83618,15.09113,14.70903,14.41906,0.04039909,184.41380299545375,51.35304001008117,0
GALAXY,18.26551,16.91226,16.48943,16.25593,16.25896,0.04878166,175.45493085164816,35.485443088631826,0
GALAXY,18.16765,17.14543,16.84514,16.59998,16.50126,0.05232915,225.0329589671503,-26.15925121014412,0
QSO,18.52612,18.29811,18.17506,17.90583,17.87081,1.676814,340.627281836854,69.73334531441341,0
GALAXY,19.45983,19.09553,19.00929,19.06094,19.1487,0.2395167,208.71771903449263,85.64974016088729,0
GALAXY,18.91253,17.53665,16.81467,16.43992,16.18453,0.08012688,194.4782160403027,10.413692843435172,0
GALAXY,18.78527,17.45561,16.79129,16.45744,16.23732,0.0847341,18.11625585647902,11.831024041972626,0
GALAXY,19.5887,18.3139,17.74969,17.43273,17.20918,0.06698953,22.646691366488614,-36.447569079519994,0
GALAXY,17.72369,16.48737,16.02161,15.75816,15.58877,0.04897523,67.444844877644,15.211086476996556,0
STAR,18.42656,17.55141,17.27364,17.18111,17.1724,-0.000663522,11.68947780902938,-10.864382305527627,0
GALAXY,19.0191,17.16872,16.23676,15.80142,15.4578,0.08409948,267.6070424052045,-35.60561515295066,0
GALAXY,19.48646,18.20557,17.56058,17.21479,16.92885,0.1077578,260.3989094378267,-77.90666462569776,0
STAR,19.54912,18.67591,18.4398,18.36728,18.36438,-0.000365247,48.98024439539146,-44.51258525235752,0
GALAXY,19.12189,18.10081,17.61394,17.23308,17.09072,0.1077043,300.98840428630115,-54.38616305802041,0
GALAXY,19.55624,18.19258,17.45615,17.03052,16.77278,0.1439188,55.72297254460031,7.567557219710807,0
QSO,18.63116,18.43069,18.31745,18.04518,18.0625,1.626437,108.42321131904916,18.300603917446892,0
QSO,19.31459,19.01104,19.03172,18.8532,18.89265,0.6105471,89.63168369809141,19.54291037508297,0
GALAXY,18.76558,17.51307,16.95086,16.61562,16.4072,0.07239544,134.0305554862972,-20.127419811777756,0
QSO,19.32814,19.30031,19.2922,18.94922,18.97642,1.78546,91.67895572038628,-14.178647936610716,0
GALAXY,18.87387,17.62013,17.0757,16.73682,16.51681,0.03992635,176.02233351784275,60.1629173353152,0
QSO,19.19813,18.64191,18.37124,18.27779,18.03089,0.756317,146.66683728768675,-4.278093566910769,0
GALAXY,17.87932,16.05718,15.2256,14.8198,14.54504,0.04675284,355.1650166805575,87.79919978468203,0
GALAXY,19.32017,18.12669,17.4975,17.08651,16.87969,0.07078946,20.13348604616124,-10.868898598404328,0
GALAXY,18.66327,17.222,16.54503,16.16945,15.94752,0.06277081,51.18529549944658,26.92457003121102,0
GALAXY,19.2575,17.647,17.07975,16.69737,16.66098,0.1099662,19.017321807096895,-80.93466018118876,0
STAR,18.31249,17.10786,16.69595,16.54779,16.47721,9.23e-05,225.30283019365527,27.60118639538595,0
GALAXY,18.9873,17.80937,17.3892,17.14117,17.10521,0.03246343,19.62333986893905,63.25675099470109,0
STAR,17.78824,16.59032,16.34842,16.25462,16.21768,0.00020258,301.11830545540437,79.64241093599333,0
STAR,19.21005,18.06578,17.67068,17.523,17.47663,0.000572563,184.297907045494,89.51771009515869,0
GALAXY,18.21765,17.10587,16.66838,16.43363,16.25334,0.0243144,189.72274484935213,-39.20784378313804,0
GALAXY,18.9919,17.70668,17.19165,16.85122,16.66971,0.06565711,202.1740227763899,13.566611668629037,0
GALAXY,19.20193,17.55682,16.67958,16.22873,15.91424,0.1375362,61.492934270235864,-8.870762604213468,0
GALAXY,19.00397,17.46871,16.64787,16.23167,15.96335,0.08907554,71.16850912121552,11.48714650353078,0
GALAXY,19.55487,17.72117,16.78373,16.37285,16.06997,0.08946521,114.77423623428167,-61.6584677058276,0
GALAXY,19.49698,18.16798,17.59831,17.28776,17.27791,0.06452547,213.65870969586652,64.10692306726946,0
GALAXY,18.69799,16.75138,15.83823,15.41251,15.09618,0.06287897,75.64239933847723,73.72240980202577,0
GALAXY,19.35299,17.37898,16.49791,16.06494,15.77903,0.06257594,41.87942176797405,-9.060900639673946,0
STAR,17.25446,16.00193,15.55906,15.38593,15.39297,0.000457746,349.2420791106356,-39.522624916756165,0
STAR,19.43177,18.43218,18.02333,17.84438,17.82401,0.00040115,7.913453331464249,-64.64998302245777,0
GALAXY,18.52817,16.73893,15.85666,15.43559,15.12555,0.05999574,288.97106592096776,33.0776684600048,0
QSO,18.18245,17.95889,18.01748,18.11531,18.28816,2.241939,283.69265384700793,-33.79826886826766,0
GALAXY,18.78977,16.98141,16.16851,15.7957,15.49599,0.06078964,106.99708098423456,73.71694258440996,0
QSO,17.09431,16.96288,16.91606,16.69217,16.7208,1.823895,48.82558176263282,30.78224547207661,0
GALAXY,19.24794,17.61724,16.82268,16.38517,16.07899,0.06044928,52.42631281395243,26.22335853136333,0
GALAXY,18.34676,17.20784,16.68878,16.34724,16.181,0.07000943,251.0753822053893,10.692380861683349,0
GALAXY,19.15683,17.80305,17.04962,16.68003,16.43683,0.1084119,231.41037279102252,-81.76025890282939,0
GALAXY,19.11142,17.60132,16.74212,16.29927,15.92593,0.1078668,281.78844273049924,77.74603842340565,0
GALAXY,18.88416,17.31424,16.35932,15.87062,15.54023,0.1333561,337.4932220636777,23.028748793902807,0
STAR,16.48919,15.32461,14.78562,14.5512,14.42815,-8.03e-05,249.09385077597312,88.93115700895987,0
STAR,17.54889,15.74486,15.14439,14.97919,14.90206,7.04e-06,56.106553158519645,6.72415285911967,0
STAR,15.19925,14.13025,13.83895,13.74083,13.73634,-9.34e-05,87.63934203554784,37.81996054311835,0
STAR,16.99109,16.04189,15.78333,15.65147,15.64378,5.52e-05,303.18974311432123,-79.88227958408001,0
STAR,16.62379,15.06841,14.51326,14.3314,14.2496,-5.45e-05,75.35018730031508,23.71251182821396,0
STAR,17.16353,15.52128,14.91332,14.73029,14.63597,-6.63e-05,26.10803410361331,47.6369300862643,0
STAR,17.69653,15.97289,15.31198,15.06841,14.93539,0.000122892,253.18081945521016,50.13257307346032,0
STAR,17.90038,16.57068,16.05404,15.84693,15.75013,-6.22e-05,144.90948797645115,48.620097401451375,0
STAR,19.25436,17.88806,17.36266,17.15906,17.09396,0.000471911,331.2144189165253,-49.26912708713982,0
STAR,19.45129,18.2881,17.79475,17.59236,17.53061,0.000287352,234.09182559371817,85.57172596894065,0
STAR,17.71086,16.61384,16.56522,16.58661,16.65069,1.71e-05,32.55083200499787,89.13278171248896,0
GALAXY,18.68084,17.95865,17.72439,17.46521,17.58348,0.1194063,341.22836421131785,-76.39274247091177,0
STAR,18.82832,17.3785,16.83033,16.62831,16.54322,0.000102806,93.08061491048852,78.5603561061163,0
GALAXY,19.49271,17.78176,16.99598,16.64082,16.34531,0.04711785,121.39649654626288,-37.89914502521352,0
GALAXY,18.62902,17.72713,17.35122,17.0447,16.99721,0.1049423,144.81374892607514,34.071134715173656,0
QSO,19.16988,19.1259,19.10582,18.89198,18.90187,1.682197,18.44074670555277,-29.14003426749622,0
STAR,12.98897,13.71016,13.31439,13.24723,12.7359,0.00013271,178.74555200301774,84.19577820716188,0
STAR,19.46947,18.40675,18.27509,18.29444,18.2731,0.000733716,44.394656787105205,-71.72930550536361,0
QSO,18.62765,18.60891,18.69011,18.5303,18.45411,1.770817,144.34931760780665,-0.4055729478523204,0
STAR,18.30502,17.90634,18.12701,18.37335,18.64885,-0.000170893,126.25552367715036,-12.951397450426567,0
QSO,19.08609,19.08938,19.15897,18.89034,18.92374,1.771199,278.22243003354123,-31.31577858996272,0
GALAXY,18.76865,16.99078,16.10868,15.65633,15.32423,0.08468764,289.1413841877832,26.19611835842676,0
GALAXY,19.49669,18.03998,17.2567,16.82616,16.53289,0.08641179,55.22863766007168,-66.40996618409986,0
GALAXY,19.1609,17.78336,17.01143,16.61149,16.32996,0.1280278,131.95842745652143,38.99923526406545,0
GALAXY,18.81871,18.68515,18.82673,18.94193,19.1008,0.2648574,134.4071379714594,86.50658228486171,0
STAR,18.97502,17.90048,17.51716,17.39698,17.33985,3.68e-05,54.507759816990614,54.82056860435341,0
GALAXY,18.4651,16.9632,16.15317,15.70835,15.37283,0.08365113,287.4432618184286,64.80301552371816,0
GALAXY,17.55195,15.62631,14.75249,14.35057,14.0335,0.03119965,254.6021982007524,-25.265386227779544,0
STAR,19.14099,18.20092,17.92104,17.84542,17.78993,0.000449346,68.5374430669325,-31.520410833380637,0
GALAXY,16.45963,15.63514,15.30915,15.08962,14.90842,0.03752311,132.01988709376766,3.0687038442239754,0
GALAXY,16.79147,15.65916,15.21477,14.98608,14.8369,0.03709651,38.08980894834512,-81.76920934279092,0
GALAXY,19.44808,18.07089,17.4257,17.06341,16.94968,0.1451204,226.15437495349585,80.16446420217588,0
GALAXY,19.50963,17.42964,16.28796,15.83125,15.4843,0.1476404,43.69389283750308,-64.1186688570854,0
GALAXY,18.36624,16.74603,15.8965,15.51281,15.22779,0.09741216,354.9363007049704,72.54234705025664,0
GALAXY,19.34844,18.17183,17.56538,17.1681,16.95675,0.08456986,281.04554688763045,-74.95520003993597,0
GALAXY,19.50177,17.57112,16.58219,16.14822,15.824,0.09535558,140.4858778502382,58.072486982140816,0
QSO,18.47954,18.32226,18.34056,18.16334,18.21945,1.723522,208.2830156205676,-62.646745341921275,0
GALAXY,19.48564,18.40632,17.78021,17.40439,17.17757,0.1886292,328.08305383790713,-83.13630946353491,0
GALAXY,18.64974,16.60048,15.59794,15.18293,14.81871,0.0986044,199.4757409424974,39.508101046693554,0
GALAXY,18.76308,17.14008,16.31555,15.90917,15.61829,0.09677505,62.81945510326386,-39.552245968602904,0
GALAXY,19.09992,17.19534,16.2437,15.81447,15.48754,0.09610542,136.33320800921734,38.60930750118291,0
GALAXY,18.81538,17.45619,16.8261,16.42187,16.15619,0.09687082,303.53215141070837,9.91534508510756,0
STAR,18.37194,16.43596,15.51614,15.06265,14.75283,-0.000124436,231.91668575626244,-70.41466975858819,0
GALAXY,18.68258,17.28132,16.49697,16.07323,15.75502,0.1032165,234.2607783601681,77.78341319420946,0
GALAXY,18.95156,17.7361,17.19167,16.8622,16.6468,0.09771383,312.0557348478561,-8.583448542574033,0
STAR,18.70457,17.78596,17.50058,17.39194,17.35751,0.000555929,321.8303006865017,42.20051000376384,0
GALAXY,19.3174,17.35919,16.42443,15.98961,15.66406,0.09621323,331.12532584059704,0.1837029628125179,0
GALAXY,17.77552,16.06083,15.37059,15.02544,14.79094,0.03748369,34.145709571136194,18.78506549301686,0
GALAXY,18.96651,17.5751,16.89927,16.53996,16.28453,0.08860564,195.8853607067163,-35.50075337579536,0
GALAXY,19.2083,17.45006,16.64809,16.26727,15.96527,0.03898491,266.5834276385947,-53.93514527937895,0
GALAXY,19.45954,18.12787,17.55036,17.20251,16.98372,0.08509754,272.493664245725,7.662636613452207,0
GALAXY,18.92913,17.49515,16.87735,16.56174,16.37619,0.03795014,218.41783270920135,-10.76058486521964,0
GALAXY,18.83621,17.06037,16.24235,15.83737,15.56033,0.04660117,60.0434406661227,-19.77962158189203,0
GALAXY,18.17829,16.20338,15.24423,14.78544,14.42674,0.08870976,287.07139941899914,31.062095117032143,0
GALAXY,17.51768,15.3072,14.28938,13.84132,13.49325,0.08582446,259.2400800653805,34.29119376200447,0
GALAXY,19.05283,17.0855,16.14184,15.72749,15.39067,0.08167344,31.008877757653064,-81.73438990357265,0
GALAXY,19.31444,17.28304,16.34906,15.9247,15.62034,0.0856043,166.97153688277547,-29.02599103613901,0
STAR,19.27824,18.43648,18.13632,18.01538,17.98311,-0.000356608,62.63186382784929,-15.882380959252076,0
GALAXY,18.81835,16.92881,16.01003,15.60394,15.28167,0.08459571,121.49173645666988,-72.55941099044975,0
GALAXY,18.8962,16.92805,15.96817,15.5364,15.19162,0.08425326,6.509193194046756,-47.5378439943081,0
GALAXY,18.61476,16.82847,15.86708,15.40661,15.02768,0.08712647,144.11875262787296,-80.7044764999038,0
GALAXY,19.51884,17.69762,16.85454,16.46291,16.18648,0.08657005,197.95569161623575,89.32357775106371,0
GALAXY,18.77087,16.96718,16.04727,15.6173,15.27993,0.08726029,223.04973341775127,42.580296534572,0
GALAXY,19.05558,17.53906,17.29121,16.76685,16.39926,0.03804972,238.8565242463356,-74.25897182950433,0
QSO,18.72993,17.81565,17.31234,16.84358,16.77865,0.09439446,301.0648727168856,-86.35511163778342,0
GALAXY,19.57368,17.58176,16.57175,16.06547,15.66514,0.08758844,77.56664661926281,39.47180402741043,0
